SKU;ProductTitleFR;ProductTitleEN;ProductDescriptionFR;ProductDescriptionEN;upc;RegularPrice;Inventory;weight;length;width;height;ImageUrl;ProductCategory;AssociatedSkus
"10331H";"Sac microfiltre HEPA pour aspirateur dorsal Proteam Perfect - paquet de 6 sacs";"Microfilter Hepa Vacuum Bag for Back Pack Proteam Perfect - Pack of 6 Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383401315";"21.950000";"156";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/10331H.jpg";"Vacuum Bags";"PE1001,PEBP10"
"10431";"Sacs en papier pour aspirateur Proteam 6,6 L - paquet de 10 sacs - #100431";"6.6 L Paper Bags for Proteam Vacuum - Pack of 10 Bags - #100431";"  <meta generatedBy=""This HTML file is proudly generated by MMM"" />    <h3></h3>        <h3></h3>        <h3>Con̤u pour</h3>      <ul><li>Proteam: Aviation Vac - GoCartVac - ProVac BP -</li><li>QuarterVac - QuietPro BP - Super QuarterVac - TailVac</li></ul><hr>  <h3></h3>        <h3></h3>        <h3></h3>          ";"  <meta generatedBy=""This HTML file is proudly generated by MMM"" />    <h3></h3>        <h3></h3>        <h3>Fits On</h3>      <ul><li>Proteam: Aviation Vac - GoCartVac - ProVac BP -</li><li>QuarterVac - QuietPro BP - Super QuarterVac - TailVac</li></ul><hr>  <h3></h3>        <h3></h3>        <h3></h3>          ";"";"52.250000";"15";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/10431.jpg";"Vacuum Bags";""
"105";"SAC  HEPA INTERVAC CS6,CS8  PK5  + 1FILTRE";"HEPA BAG INTERVAC  CS6,CS8 PK 5 +1 FILTER";"";"";"";"29.950000";"432";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/105.jpg";"Vacuum Bags";""
"106";"Sac microfiltre pour aspirateur Fuller mod̬le FBCC-1 et CPCC-1 - paquet de 6 sacs";"Microfilter Vacuum Bag for Fuller Model FBCC-1 and CPCC-1 - Pack of 6 Bags";"<P>&nbsp;</P>";"<P>&nbsp;</P>";"";"12.500000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/106.jpg";"Vacuum Bags";""
"1100ECM";"Sac microfiltre pour aspirateur Royal  AiroPro 1000 type P - paquet de 7 sacs + 1 filtre - Envirocare 213";"Microfilter Bag for Vacuum Royal  AiroPro 1000 Type P - Pack of 7 Bags + 1 Filter - Envirocare 213";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"836301002135";"17.950000";"6";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1100ECM.jpg";"Vacuum Bags";""
"110ECM";"Sac microfiltre pour aspirateur dorsal Johnny Vac JVBP6 ou JVBP6B - paquet de 10 sacs";"Microfilter Bag for Back Pack Johnny Vac JVBP6 or JVBP6B- Pack of 10 Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"";"24.950000";"420";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/110ECM.jpg";"Vacuum Bags";"JVBP6,JVBP6B"
"110H";"Sac microfiltre HEPA pour aspirateur dorsal Johnny Vac JVBP6 - paquet de 6 sacs";"HEPA Microfilter Bag for Back Pack Johnny Vac JVBP6 - Pack of 6 Bags";"<P>&nbsp;</P>";"<P>&nbsp;</P>";"";"24.950000";"348";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/110H.jpg";"Vacuum Bags";"JVBP6"
"111";"Sac en papier carr̩ pour aspirateur Ghibli T1 - paquet de 5 sacs";"Square Paper Vacuum Bag for Ghibli T1 - Pack of 5 Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383162124";"12.950000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/111.jpg";"Vacuum Bags";""
"111H";"Sac microfiltre carr̩ HEPA pour aspirateur Ghibli T1 - paquet de 5 sacs";"Square HEPA Microfilter Vacuum Bag for Ghibli T1 - Pack of 5 Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383448242";"14.950000";"32";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/111H.jpg";"Vacuum Bags";""
"111N";"Sac en papier rond pour aspirateur Ghibli T1 et Wirbel W1 - paquet de 5 sacs";"Round Paper Vacuum Bag for Ghibli Square T1 and Whirbel W1 - Pack of 5 Bags";"<P>&nbsp;</P>";"<P>&nbsp;</P>";"628383657217";"16.950000";"126";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/111N.jpg";"Vacuum Bags";"JVT1,JVT1W,STJV111"
